MMWR_WEEK,WEEK_START,WEEK_END,FLU_RISK_LEVEL,INFLUENZA_SEASON,HOSP_FLU_ICU_WEEKLY,HOSP_FLU_ICU_CUMULATIVE,LAB_FLU_TESTED,LAB_FLU_POSITIVE,LAB_FLU_PCT_POSITIVE,LAB_TOT_A_POSITIVE,LAB_TOT_B_POSITIVE,LAB_TOT_H1N1_POSITIVE,LAB_TOT_H3N2_POSITIVE,LAB_TOT_NOTSUBTYPED_POSITIVE,LAB_TOT_TESTED_CUMULATIVE,LAB_TOT_POSITIVE_CUMULATIVE,LAB_PCT_POSITIVE_CUMULATIVE,ILI_TOT_ILI_ILINET,ILI_TOT_SEEN_ILINET,ILI_PCT_POSITIVE_ILINET,ILI_TOT_ILI_ESSENCE,ILI_TOT_SEEN_ESSENCE,ILI_PCT_POSITIVE_ESSENCE,PEDIATRIC_DEATHS,RECORD_ID
202103,01/17/2021,01/23/2021,LOW,2020-2021,0,1,1316,0,0.00,0,0,0,0,0,16776,3,0.02,18,5942,0.30,110,16240,0.68,0,2021-03
202104,01/24/2021,01/30/2021,LOW,2020-2021,0,1,887,0,0.00,0,0,0,0,0,17663,3,0.02,22,5747,0.38,88,15818,0.56,0,2021-04
202105,01/31/2021,02/06/2021,LOW,2020-2021,0,1,826,1,0.12,1,0,0,0,1,18489,4,0.02,22,6093,0.36,107,15457,0.69,0,2021-05
202106,02/07/2021,02/13/2021,LOW,2020-2021,0,1,782,0,0.00,0,0,0,0,0,19271,4,0.02,23,5762,0.40,60,15425,0.39,0,2021-06
202107,02/14/2021,02/20/2021,LOW,2020-2021,0,1,798,0,0.00,0,0,0,0,0,20069,4,0.02,21,5449,0.39,63,14872,0.42,0,2021-07
202108,02/21/2021,02/27/2021,LOW,2020-2021,0,1,866,0,0.00,0,0,0,0,0,20935,4,0.02,23,6745,0.34,78,17043,0.46,0,2021-08
202109,02/28/2021,03/06/2021,LOW,2020-2021,0,1,806,0,0.00,0,0,0,0,0,21741,4,0.02,29,6782,0.43,75,16801,0.45,0,2021-09
202110,03/07/2021,03/13/2021,LOW,2020-2021,0,1,840,0,0.00,0,0,0,0,0,22581,4,0.02,33,6735,0.49,100,17479,0.57,0,2021-10
202111,03/14/2021,03/20/2021,LOW,2020-2021,0,1,880,0,0.00,0,0,0,0,0,23461,4,0.02,13,6703,0.19,110,17219,0.64,0,2021-11
202112,03/21/2021,03/27/2021,LOW,2020-2021,0,1,917,1,0.11,1,0,0,1,0,24378,5,0.02,46,6417,0.72,110,18789,0.59,0,2021-12
202113,03/28/2021,04/03/2021,LOW,2020-2021,0,1,840,0,0.00,0,0,0,0,0,25218,5,0.02,26,6321,0.41,148,19091,0.78,0,2021-13
202114,04/04/2021,04/10/2021,LOW,2020-2021,0,1,995,0,0.00,0,0,0,0,0,26213,5,0.02,39,6488,0.60,169,20466,0.83,0,2021-14
202115,04/11/2021,04/17/2021,LOW,2020-2021,0,1,997,0,0.00,0,0,0,0,0,27210,5,0.02,30,6618,0.45,174,20962,0.83,0,2021-15
202116,04/18/2021,04/24/2021,LOW,2020-2021,0,1,894,0,0.00,0,0,0,0,0,28104,5,0.02,52,5919,0.88,203,20000,1.02,0,2021-16
202117,04/25/2021,05/01/2021,LOW,2020-2021,0,1,739,1,0.14,1,0,0,0,1,28843,6,0.02,41,6096,0.67,178,20117,0.88,0,2021-17
202118,05/02/2021,05/08/2021,LOW,2020-2021,0,1,574,0,0.00,0,0,0,0,0,29417,6,0.02,38,5996,0.63,156,20744,0.75,0,2021-18
202119,05/09/2021,05/15/2021,LOW,2020-2021,0,1,494,0,0.00,0,0,0,0,0,29911,6,0.02,57,6008,0.95,166,20041,0.83,0,2021-19
202120,05/16/2021,05/22/2021,LOW,2020-2021,0,1,472,0,0.00,0,0,0,0,0,30383,6,0.02,50,5691,0.88,174,21165,0.82,0,2021-20
202121,05/23/2021,05/29/2021,LOW,2020-2021,0,1,269,0,0.00,0,0,0,0,0,30652,6,0.02,41,5891,0.70,164,20517,0.80,0,2021-21
202122,05/30/2021,06/05/2021,LOW,2020-2021,0,1,497,0,0.00,0,0,0,0,0,31149,6,0.02,39,4490,0.87,129,20237,0.64,0,2021-22
202123,06/06/2021,06/12/2021,LOW,2020-2021,0,1,416,0,0.00,0,0,0,0,0,31565,6,0.02,46,5596,0.82,133,21862,0.61,0,2021-23
202124,06/13/2021,06/19/2021,LOW,2020-2021,0,1,462,0,0.00,0,0,0,0,0,32027,6,0.02,60,5821,1.03,130,21530,0.60,0,2021-24
202125,06/20/2021,06/26/2021,LOW,2020-2021,0,1,491,0,0.00,0,0,0,0,0,32518,6,0.02,37,5193,0.71,151,21125,0.71,0,2021-25
202126,06/27/2021,07/03/2021,LOW,2020-2021,0,1,434,0,0.00,0,0,0,0,0,32952,6,0.02,41,5524,0.74,168,21423,0.78,0,2021-26
202127,07/04/2021,07/10/2021,LOW,2020-2021,0,1,532,0,0.00,0,0,0,0,0,33484,6,0.02,33,4628,0.71,184,22364,0.82,0,2021-27
202128,07/11/2021,07/17/2021,LOW,2020-2021,1,2,489,2,0.41,1,1,0,0,1,33973,8,0.02,57,5753,0.99,211,22175,0.95,0,2021-28
202129,07/18/2021,07/24/2021,LOW,2020-2021,0,2,512,0,0.00,0,0,0,0,0,34485,8,0.02,62,5478,1.13,206,22190,0.93,0,2021-29
202130,07/25/2021,07/31/2021,LOW,2020-2021,0,2,618,0,0.00,0,0,0,0,0,35103,8,0.02,62,5811,1.07,210,22662,0.93,0,2021-30
202131,08/01/2021,08/07/2021,LOW,2020-2021,0,2,667,0,0.00,0,0,0,0,0,35770,8,0.02,52,6033,0.86,220,22236,0.99,0,2021-31
202132,08/08/2021,08/14/2021,LOW,2020-2021,0,2,695,0,0.00,0,0,0,0,0,36465,8,0.02,47,6032,0.78,235,22223,1.06,0,2021-32
202133,08/15/2021,08/21/2021,LOW,2020-2021,0,2,719,0,0.00,0,0,0,0,0,37184,8,0.02,56,5996,0.93,208,22284,0.93,0,2021-33
202134,08/22/2021,08/28/2021,LOW,2020-2021,0,2,803,4,0.50,4,0,4,0,0,37987,12,0.03,29,6192,0.47,244,21861,1.12,0,2021-34
202135,08/29/2021,09/04/2021,LOW,2020-2021,0,2,1141,0,0.00,0,0,0,0,0,39128,12,0.03,56,6189,0.90,284,22119,1.28,0,2021-35
202136,09/05/2021,09/11/2021,LOW,2020-2021,0,2,992,1,0.10,1,0,0,1,0,40120,13,0.03,46,4869,0.94,322,22594,1.43,0,2021-36
202137,09/12/2021,09/18/2021,LOW,2020-2021,0,2,1075,2,0.19,2,0,1,1,0,41195,15,0.04,104,6142,1.69,273,22670,1.20,0,2021-37
202138,09/19/2021,09/25/2021,LOW,2020-2021,0,2,876,0,0.00,0,0,0,0,0,42071,15,0.04,111,6094,1.82,235,21138,1.11,0,2021-38
202139,09/26/2021,10/02/2021,LOW,2020-2021,0,2,899,0,0.00,0,0,0,0,0,42970,15,0.04,112,6151,1.82,256,21735,1.18,0,2021-39
202140,10/03/2021,10/09/2021,LOW,2021-2022,0,0,1994,1,0.05,1,0,0,0,1,1994,1,0.05,92,6719,1.37,223,21808,1.02,0,2021-40
202141,10/10/2021,10/16/2021,LOW,2021-2022,0,0,1965,0,0.00,0,0,0,0,0,3959,1,0.03,64,6176,1.04,209,21677,0.96,0,2021-41
202142,10/17/2021,10/23/2021,LOW,2021-2022,0,0,2113,2,0.09,1,1,0,0,1,6072,3,0.05,85,6839,1.24,216,21364,1.01,0,2021-42
202143,10/24/2021,10/30/2021,LOW,2021-2022,0,0,2016,2,0.10,2,0,0,2,0,8088,5,0.06,105,6399,1.64,256,20675,1.24,0,2021-43
202144,10/31/2021,11/06/2021,LOW,2021-2022,0,0,2304,29,1.26,29,0,0,2,27,10392,34,0.33,113,6073,1.86,214,21144,1.01,0,2021-44
202145,11/07/2021,11/13/2021,LOW,2021-2022,0,0,2999,76,2.53,75,1,0,8,67,13391,110,0.82,95,6515,1.46,229,20237,1.13,0,2021-45
202146,11/14/2021,11/20/2021,LOW,2021-2022,0,0,4516,77,1.71,76,1,0,4,72,17907,187,1.04,113,6274,1.80,224,20032,1.12,0,2021-46
202147,11/21/2021,11/27/2021,LOW,2021-2022,0,0,3146,37,1.18,37,0,0,9,28,21053,224,1.06,61,4306,1.42,249,19381,1.28,0,2021-47
202148,11/28/2021,12/04/2021,LOW,2021-2022,0,0,4070,111,2.73,109,2,0,15,94,25123,335,1.33,101,6294,1.60,298,22299,1.34,0,2021-48
202149,12/05/2021,12/11/2021,LOW,2021-2022,0,0,4248,102,2.40,100,2,0,22,78,29371,437,1.49,95,6266,1.52,360,21840,1.65,0,2021-49
202150,12/12/2021,12/18/2021,LOW,2021-2022,1,1,5216,141,2.70,132,9,0,16,116,34587,578,1.67,92,6231,1.48,461,22963,2.01,0,2021-50
202151,12/19/2021,12/25/2021,LOW,2021-2022,1,2,6510,103,1.58,103,0,0,16,87,41097,681,1.66,95,4608,2.06,765,23023,3.32,0,2021-51
202152,12/26/2021,01/01/2022,LOW,2021-2022,0,2,6662,42,0.63,41,1,0,18,23,47759,723,1.51,64,4602,1.39,659,23009,2.86,0,2021-52
202201,01/02/2022,01/08/2022,LOW,2021-2022,1,3,6010,30,0.50,30,0,0,6,24,53769,753,1.40,106,6311,1.68,390,19996,1.95,0,2022-01
202202,01/09/2022,01/15/2022,LOW,2021-2022,0,3,6025,18,0.30,18,0,0,9,9,59794,771,1.29,72,6340,1.14,218,19076,1.14,0,2022-02
202203,01/16/2022,01/22/2022,LOW,2021-2022,2,5,4306,13,0.30,13,0,0,1,12,64100,784,1.22,39,5882,0.66,132,17890,0.74,0,2022-03
202204,01/23/2022,01/29/2022,LOW,2021-2022,0,5,3409,16,0.47,16,0,0,4,12,67509,800,1.19,32,5568,0.57,100,16501,0.61,0,2022-04
202205,01/30/2022,02/05/2022,LOW,2021-2022,0,5,3274,11,0.34,11,0,0,4,7,70783,811,1.15,20,5075,0.39,60,16746,0.36,0,2022-05
202206,02/06/2022,02/12/2022,LOW,2021-2022,0,5,2958,15,0.51,15,0,0,10,5,73741,826,1.12,32,5986,0.53,99,18553,0.53,0,2022-06
202207,02/13/2022,02/19/2022,LOW,2021-2022,0,5,2859,12,0.42,12,0,0,2,10,76600,838,1.09,45,5791,0.78,107,18405,0.58,0,2022-07
202208,02/20/2022,02/26/2022,LOW,2021-2022,0,5,2882,21,0.73,21,0,0,14,7,79482,859,1.08,51,5647,0.90,95,19077,0.50,0,2022-08
202209,02/27/2022,03/05/2022,LOW,2021-2022,0,5,2915,44,1.51,44,0,0,25,19,82397,903,1.10,50,5825,0.86,106,19894,0.53,0,2022-09
202210,03/06/2022,03/12/2022,LOW,2021-2022,0,5,2929,99,3.38,98,1,0,48,50,85326,1002,1.17,65,5873,1.11,159,19843,0.80,0,2022-10
202211,03/13/2022,03/19/2022,LOW,2021-2022,1,6,3186,135,4.24,130,5,2,45,83,88512,1137,1.28,91,5695,1.60,191,21650,0.88,0,2022-11
202212,03/20/2022,03/26/2022,LOW,2021-2022,2,8,3502,150,4.28,150,0,2,51,97,92014,1287,1.40,104,5674,1.83,257,21295,1.21,0,2022-12
202213,03/27/2022,04/02/2022,LOW,2021-2022,6,14,3604,211,5.85,211,0,0,74,137,95618,1498,1.57,80,5932,1.35,255,21253,1.20,0,2022-13
202214,04/03/2022,04/09/2022,LOW,2021-2022,6,20,4262,292,6.85,292,0,0,125,167,99880,1790,1.79,114,5797,1.97,321,21982,1.46,0,2022-14
202215,04/10/2022,04/16/2022,LOW,2021-2022,8,28,4607,303,6.58,301,2,0,95,206,104487,2093,2.00,97,5588,1.74,305,20748,1.47,0,2022-15
202216,04/17/2022,04/23/2022,LOW,2021-2022,6,34,4740,297,6.27,287,10,0,104,183,109227,2390,2.19,82,5295,1.55,321,21065,1.52,0,2022-16
202217,04/24/2022,04/30/2022,LOW,2021-2022,2,36,4978,315,6.33,315,0,0,133,182,114205,2705,2.37,98,5476,1.79,341,22168,1.54,0,2022-17
202218,05/01/2022,05/07/2022,LOW,2021-2022,4,40,4772,361,7.56,361,0,0,121,240,118977,3066,2.58,84,5648,1.49,400,22334,1.79,0,2022-18
202219,05/08/2022,05/14/2022,LOW,2021-2022,4,44,4773,260,5.45,260,0,0,70,190,123750,3326,2.69,111,5731,1.94,389,23608,1.65,1,2022-19
202220,05/15/2022,05/21/2022,LOW,2021-2022,0,44,4970,167,3.36,167,0,0,46,121,128720,3493,2.71,123,5855,2.10,313,23273,1.34,0,2022-20
202221,05/22/2022,05/28/2022,LOW,2021-2022,1,45,4775,110,2.30,109,1,0,27,82,133495,3603,2.70,134,5894,2.27,261,22103,1.18,0,2022-21
202222,05/29/2022,06/04/2022,LOW,2021-2022,2,47,4239,68,1.60,68,0,0,15,53,137734,3671,2.67,90,4649,1.94,297,22405,1.33,0,2022-22
202223,06/05/2022,06/11/2022,LOW,2021-2022,2,49,4352,37,0.85,37,0,0,12,25,142086,3708,2.61,98,5376,1.82,276,22112,1.25,0,2022-23
202224,06/12/2022,06/18/2022,LOW,2021-2022,1,50,4033,21,0.52,21,0,0,3,18,146119,3729,2.55,54,5491,0.98,237,22408,1.06,0,2022-24
202225,06/19/2022,06/25/2022,LOW,2021-2022,1,51,3877,18,0.46,18,0,0,2,16,149996,3747,2.50,68,5338,1.27,226,22409,1.01,0,2022-25
202226,06/26/2022,07/02/2022,LOW,2021-2022,0,51,3699,16,0.43,15,1,0,3,12,153695,3763,2.45,71,5465,1.30,218,22193,0.98,0,2022-26
202227,07/03/2022,07/09/2022,LOW,2021-2022,0,51,3334,6,0.18,6,0,0,1,5,157029,3769,2.40,34,4431,0.77,215,21686,0.99,0,2022-27
202228,07/10/2022,07/16/2022,LOW,2021-2022,0,51,3742,6,0.16,5,1,0,1,4,160771,3775,2.35,26,5586,0.47,197,21986,0.90,0,2022-28
202229,07/17/2022,07/23/2022,LOW,2021-2022,0,51,3603,3,0.08,2,1,0,0,2,164374,3778,2.30,37,5312,0.70,208,22158,0.94,0,2022-29
202230,07/24/2022,07/30/2022,LOW,2021-2022,0,51,3584,3,0.08,3,0,0,2,1,167958,3781,2.25,39,5749,0.68,194,22259,0.87,0,2022-30
202231,07/31/2022,08/06/2022,LOW,2021-2022,0,51,3203,6,0.19,6,0,0,1,5,171161,3787,2.21,45,5798,0.78,192,21832,0.88,0,2022-31
202232,08/07/2022,08/13/2022,LOW,2021-2022,0,51,2963,2,0.07,2,0,0,1,1,174124,3789,2.18,39,5936,0.66,189,21693,0.87,0,2022-32
202233,08/14/2022,08/20/2022,LOW,2021-2022,0,51,2962,2,0.07,1,1,0,1,0,177086,3791,2.14,30,5863,0.51,155,21720,0.71,0,2022-33
202234,08/21/2022,08/27/2022,LOW,2021-2022,0,51,3028,5,0.17,5,0,1,1,3,180114,3796,2.11,68,5609,1.21,207,22383,0.92,0,2022-34
202235,08/28/2022,09/03/2022,LOW,2021-2022,0,51,3527,8,0.23,8,0,0,1,7,183641,3804,2.07,86,5865,1.47,312,23621,1.32,0,2022-35
202236,09/04/2022,09/10/2022,LOW,2021-2022,0,51,3370,4,0.12,4,0,0,1,3,187011,3808,2.04,99,4900,2.02,314,23410,1.34,0,2022-36
202237,09/11/2022,09/17/2022,LOW,2021-2022,0,51,3395,6,0.18,4,2,0,0,4,190406,3814,2.00,82,5760,1.42,247,22991,1.07,0,2022-37
202238,09/18/2022,09/24/2022,LOW,2021-2022,1,52,3660,13,0.36,13,0,1,2,10,194066,3827,1.97,96,5222,1.84,297,22998,1.29,0,2022-38
202239,09/25/2022,10/01/2022,LOW,2021-2022,0,52,3694,11,0.30,10,1,1,1,8,197760,3838,1.94,88,5527,1.59,257,22091,1.16,0,2022-39
202240,10/02/2022,10/08/2022,LOW,2022-2023,1,1,3985,30,0.75,30,0,2,3,25,3985,30,0.75,128,5597,2.29,410,23305,1.76,0,2022-40
202241,10/09/2022,10/15/2022,LOW,2022-2023,0,1,4552,35,0.77,35,0,2,10,23,8537,65,0.76,117,5580,2.10,453,23284,1.95,0,2022-41
202242,10/16/2022,10/22/2022,LOW,2022-2023,0,1,4923,108,2.19,107,1,3,20,84,13460,173,1.29,134,5434,2.47,491,23595,2.08,0,2022-42
202243,10/23/2022,10/29/2022,INCREASING,2022-2023,3,4,5195,212,4.08,208,4,7,40,161,18655,385,2.06,136,5793,2.35,558,24456,2.28,0,2022-43
202244,10/30/2022,11/05/2022,INCREASING,2022-2023,5,9,5657,522,9.23,522,0,15,83,424,24312,907,3.73,164,5965,2.75,751,24884,3.02,0,2022-44
202245,11/06/2022,11/12/2022,INCREASING,2022-2023,6,15,6264,835,13.33,834,1,5,171,658,30576,1742,5.70,188,5806,3.24,894,25011,3.57,0,2022-45
202246,11/13/2022,11/19/2022,HIGH,2022-2023,20,35,7155,1526,21.33,1525,1,8,252,1265,37731,3268,8.66,207,5901,3.51,1031,24244,4.25,0,2022-46
202247,11/20/2022,11/26/2022,HIGH,2022-2023,34,69,7548,2167,28.71,2164,3,14,330,1820,45279,5435,12.00,122,4068,3.00,1321,24229,5.45,0,2022-47
202248,11/27/2022,12/03/2022,HIGH,2022-2023,29,98,8291,1962,23.66,1957,5,22,308,1627,53570,7397,13.81,192,5867,3.27,1301,25623,5.08,0,2022-48
202249,12/04/2022,12/10/2022,HIGH,2022-2023,33,131,7711,1861,24.13,1859,2,23,281,1555,61281,9258,15.11,200,6027,3.32,1005,24140,4.16,0,2022-49
202250,12/11/2022,12/17/2022,HIGH,2022-2023,21,152,7420,1343,18.10,1339,4,27,208,1104,68701,10601,15.43,148,5819,2.54,784,22713,3.45,0,2022-50
202251,12/18/2022,12/24/2022,HIGH,2022-2023,18,170,5807,714,12.30,712,2,17,130,565,74508,11315,15.19,97,4037,2.40,534,18973,2.81,0,2022-51
202252,12/25/2022,12/31/2022,HIGH,2022-2023,15,185,5699,437,7.67,437,0,19,69,349,80207,11752,14.65,54,3485,1.55,433,20721,2.09,0,2022-52
202301,01/01/2023,01/07/2023,DECREASING,2022-2023,3,188,4918,156,3.17,148,8,5,23,120,85125,11908,13.99,37,4311,0.86,350,22185,1.58,0,2023-01
202302,01/08/2023,01/14/2023,DECREASING,2022-2023,1,189,5077,97,1.91,96,1,4,12,80,90202,12005,13.31,46,5710,0.81,297,21714,1.37,0,2023-02
202303,01/15/2023,01/21/2023,DECREASING,2022-2023,0,189,4615,48,1.04,44,4,4,7,33,94817,12053,12.71,50,5813,0.86,240,21577,1.11,0,2023-03
202304,01/22/2023,01/28/2023,DECREASING,2022-2023,0,189,4621,31,0.67,26,5,1,5,20,99438,12084,12.15,78,5660,1.38,224,21238,1.05,0,2023-04
202305,01/29/2023,02/04/2023,DECREASING,2022-2023,0,189,4606,20,0.43,17,3,0,3,14,104044,12104,11.63,78,5946,1.31,210,20775,1.01,0,2023-05
202306,02/05/2023,02/11/2023,DECREASING,2022-2023,2,191,4475,40,0.89,29,11,4,3,22,108519,12144,11.19,62,5940,1.04,298,22391,1.33,0,2023-06
202307,02/12/2023,02/18/2023,DECREASING,2022-2023,2,193,4496,26,0.58,14,12,4,1,9,113015,12170,10.77,66,5667,1.16,306,22451,1.36,0,2023-07
202308,02/19/2023,02/25/2023,DECREASING,2022-2023,1,194,4281,26,0.61,14,12,3,0,11,117296,12196,10.40,81,5828,1.39,326,22266,1.46,0,2023-08
202309,02/26/2023,03/04/2023,LOW,2022-2023,0,194,4470,22,0.49,12,10,0,2,10,121766,12218,10.03,90,5946,1.51,358,22818,1.57,0,2023-09
202310,03/05/2023,03/11/2023,LOW,2022-2023,1,195,4358,21,0.48,8,13,2,1,5,126124,12239,9.70,65,5947,1.09,376,22892,1.64,0,2023-10
202311,03/12/2023,03/18/2023,LOW,2022-2023,1,196,3836,26,0.68,16,10,4,0,12,129960,12265,9.44,93,5772,1.61,326,22720,1.43,0,2023-11
202312,03/19/2023,03/25/2023,LOW,2022-2023,1,197,3894,27,0.69,17,10,6,0,11,133854,12292,9.18,81,5520,1.47,358,23401,1.53,0,2023-12
202313,03/26/2023,04/01/2023,LOW,2022-2023,0,197,3683,35,0.95,12,23,2,1,9,137537,12327,8.96,75,5719,1.31,325,22931,1.42,0,2023-13
202314,04/02/2023,04/08/2023,LOW,2022-2023,1,198,3362,11,0.33,2,9,0,0,2,140899,12338,8.76,51,5550,0.92,272,21390,1.27,0,2023-14
202315,04/09/2023,04/15/2023,LOW,2022-2023,0,198,3438,37,1.08,14,23,3,4,7,144337,12375,8.57,46,5607,0.82,288,23530,1.22,0,2023-15
202316,04/16/2023,04/22/2023,LOW,2022-2023,0,198,3279,19,0.58,9,10,1,2,6,147616,12394,8.40,37,5405,0.68,255,23099,1.10,0,2023-16
202317,04/23/2023,04/29/2023,LOW,2022-2023,0,198,3043,29,0.95,7,22,1,0,6,150659,12423,8.25,46,5886,0.78,266,22823,1.17,0,2023-17
202318,04/30/2023,05/06/2023,LOW,2022-2023,1,199,3414,28,0.82,5,23,0,0,5,154073,12451,8.08,48,5716,0.84,307,23520,1.31,0,2023-18
202319,05/07/2023,05/13/2023,LOW,2022-2023,1,200,2938,38,1.29,16,22,5,1,10,157011,12489,7.95,46,5395,0.85,254,23837,1.07,0,2023-19
202320,05/14/2023,05/20/2023,LOW,2022-2023,1,201,2900,31,1.07,12,19,1,0,11,159911,12520,7.83,48,5344,0.90,242,23766,1.02,0,2023-20
202321,05/21/2023,05/27/2023,LOW,2022-2023,0,201,2882,35,1.21,11,24,2,1,8,162793,12555,7.71,47,5230,0.90,279,23067,1.21,0,2023-21
202322,05/28/2023,06/03/2023,LOW,2022-2023,1,202,2846,32,1.12,7,25,2,0,5,165639,12587,7.60,38,4123,0.92,236,23399,1.01,0,2023-22
202323,06/04/2023,06/10/2023,LOW,2022-2023,1,203,2921,17,0.58,4,13,0,0,4,168560,12604,7.48,31,5238,0.59,219,23818,0.92,0,2023-23
202324,06/11/2023,06/17/2023,LOW,2022-2023,0,203,2595,15,0.58,7,8,3,0,4,171155,12619,7.37,27,5084,0.53,166,22354,0.74,0,2023-24
202325,06/18/2023,06/24/2023,LOW,2022-2023,0,203,2493,15,0.60,9,6,2,1,6,173648,12634,7.28,23,5150,0.45,162,22226,0.73,0,2023-25
202326,06/25/2023,07/01/2023,LOW,2022-2023,1,204,2373,3,0.13,3,0,0,0,3,176021,12637,7.18,16,5175,0.31,120,21946,0.55,0,2023-26
202327,07/02/2023,07/08/2023,LOW,2022-2023,0,204,2407,4,0.17,3,1,1,0,2,178428,12641,7.08,13,3554,0.37,122,21035,0.58,0,2023-27
202328,07/09/2023,07/15/2023,LOW,2022-2023,0,204,2476,2,0.08,1,1,0,1,0,180904,12643,6.99,13,5426,0.24,114,22198,0.51,0,2023-28
202329,07/16/2023,07/22/2023,LOW,2022-2023,0,204,2366,6,0.25,3,3,1,0,2,183270,12649,6.90,22,5146,0.43,112,22684,0.49,0,2023-29
202330,07/23/2023,07/29/2023,LOW,2022-2023,0,204,2220,5,0.23,4,1,2,0,2,185490,12654,6.82,14,5104,0.27,133,22508,0.59,0,2023-30
202331,07/30/2023,08/05/2023,LOW,2022-2023,0,204,2574,8,0.31,3,5,1,0,2,188064,12662,6.73,19,4991,0.38,125,22729,0.55,0,2023-31
202332,08/06/2023,08/12/2023,LOW,2022-2023,0,204,2644,16,0.61,8,8,2,2,4,190708,12678,6.65,12,5316,0.23,144,22405,0.64,0,2023-32
202333,08/13/2023,08/19/2023,LOW,2022-2023,0,204,2801,10,0.36,7,3,2,0,5,193509,12688,6.56,20,5328,0.38,181,22418,0.81,0,2023-33
202334,08/20/2023,08/26/2023,LOW,2022-2023,0,204,3018,16,0.53,15,1,5,1,9,196527,12704,6.46,24,5109,0.47,207,22878,0.90,0,2023-34
202335,08/27/2023,09/02/2023,LOW,2022-2023,0,204,3432,4,0.12,3,1,2,0,1,199959,12708,6.36,52,5199,1.00,265,23416,1.13,0,2023-35
202336,09/03/2023,09/09/2023,LOW,2022-2023,1,205,3621,8,0.22,4,4,0,1,3,203580,12716,6.25,42,4341,0.97,323,24124,1.34,0,2023-36
202337,09/10/2023,09/16/2023,LOW,2022-2023,1,206,3866,15,0.39,13,2,2,2,9,207446,12731,6.14,59,5278,1.12,293,23691,1.24,0,2023-37
202338,09/17/2023,09/23/2023,LOW,2022-2023,0,206,3656,12,0.33,9,3,2,1,6,211102,12743,6.04,60,4886,1.23,366,23625,1.55,0,2023-38
202339,09/24/2023,09/30/2023,LOW,2022-2023,0,206,3731,12,0.32,11,1,1,1,9,214833,12755,5.94,36,5116,0.70,333,23744,1.40,0,2023-39
202340,10/01/2023,10/07/2023,LOW,2023-2024,0,0,4323,31,0.72,23,8,7,2,14,4323,31,0.72,56,5082,1.10,341,24397,1.40,0,2023-40
202342,10/15/2023,10/21/2023,LOW,2023-2024,2,2,4502,62,1.38,60,2,8,3,49,13216,137,1.04,56,4882,1.15,382,23905,1.60,0,2023-42
202345,11/05/2023,11/11/2023,INCREASING,2023-2024,1,4,5129,122,2.38,108,14,18,2,88,27801,363,1.31,99,5195,1.91,531,24348,2.18,0,2023-45
202344,10/29/2023,11/04/2023,LOW,2023-2024,0,3,4800,39,0.81,38,1,8,1,29,22672,241,1.06,65,5033,1.29,450,23024,1.95,0,2023-44
202346,11/12/2023,11/18/2023,INCREASING,2023-2024,6,10,5632,156,2.77,139,17,15,13,111,33433,519,1.55,136,5437,2.50,579,24847,2.33,0,2023-46
202343,10/22/2023,10/28/2023,LOW,2023-2024,1,3,4656,65,1.40,62,3,9,5,48,17872,202,1.13,89,5106,1.74,396,24422,1.62,0,2023-43
202347,11/19/2023,11/25/2023,INCREASING,2023-2024,8,18,5175,221,4.27,203,18,19,8,176,38608,740,1.92,65,3804,1.71,567,22444,2.53,0,2023-47
202348,11/26/2023,12/02/2023,INCREASING,2023-2024,11,29,6278,263,4.19,248,15,20,14,214,44886,1003,2.23,108,5504,1.96,701,24693,2.84,0,2023-48
202349,12/03/2023,12/09/2023,INCREASING,2023-2024,12,41,6394,459,7.18,412,47,43,30,339,51280,1462,2.85,93,5133,1.81,721,25272,2.85,0,2023-49
202350,12/10/2023,12/16/2023,INCREASING,2023-2024,20,61,6876,712,10.35,667,45,67,33,567,58156,2174,3.74,87,4929,1.77,887,24792,3.58,0,2023-50
202351,12/17/2023,12/23/2023,INCREASING,2023-2024,34,95,7588,1091,14.38,1045,46,100,76,869,65744,3265,4.97,84,4592,1.83,947,24455,3.87,0,2023-51
202352,12/24/2023,12/30/2023,HIGH,2023-2024,33,128,5971,868,14.54,807,61,60,38,709,71715,4133,5.76,60,3065,1.96,982,24160,4.06,0,2023-52
202401,12/31/2023,01/06/2024,HIGH,2023-2024,27,155,6761,785,11.61,728,57,69,41,618,78476,4918,6.27,63,3790,1.66,748,23566,3.17,0,2024-01
202403,01/14/2024,01/20/2024,DECREASING,2023-2024,11,189,5181,375,7.24,329,46,38,21,270,89989,5859,6.51,45,3979,1.13,415,19938,2.08,0,2024-03
202404,01/21/2024,01/27/2024,DECREASING,2023-2024,11,200,4833,332,6.87,273,59,24,17,232,94822,6191,6.53,35,4951,0.71,399,22020,1.81,0,2024-04
202341,10/08/2023,10/14/2023,LOW,2023-2024,0,0,4391,44,1.00,42,2,6,6,30,8714,75,0.86,60,4650,1.29,371,22954,1.62,0,2023-41
202402,01/07/2024,01/13/2024,DECREASING,2023-2024,23,178,6332,566,8.94,526,40,43,33,450,84808,5484,6.47,74,4419,1.67,618,22268,2.78,0,2024-02
202405,01/28/2024,02/03/2024,DECREASING,2023-2024,5,205,5130,344,6.71,275,69,33,10,232,99952,6535,6.54,57,5132,1.11,404,22499,1.80,0,2024-05
